X,Y,id,ID_RU,Tip_RU,Detaliu_RU,localitate,icon_url
24.3460252898534,47.1118710943713,204,PO-06,,UNITATI INDUSTRIALE,Podirei,
24.3520460943765,47.1088726246412,203,PO-06,,UNITATI INDUSTRIALE,Podirei,
24.3504563925904,47.1025519635956,77,SM-19,,DEPOZITARE,Sieu Magherus,
24.3396589027733,47.1203352118573,74,PO-04,,CIMITIR,Podirei,
24.34323020896,47.1043037338349,73,CH-07,,Cimitir,Chintelnic,
24.4005630043578,47.1134914137325,72,VM-03,,Cimitir,Valea Magherusului,
24.3506073332301,47.0872357169,113,AC-09,,Parcul dendrologic Arcalia,Arcalia,
24.3382404763617,47.1123349045069,231,PO-09,,Asezare,Podirei,
24.3380844421464,47.1138815128116,230,PO-08,,Tumul,Podirei,
24.3552928249045,47.0880578346027,229,AC-15,,Balastiera,Arcalia,
24.3983906276019,47.057163201571,103,SA-12,,Monument,Saratel,
24.396871859467,47.1087597164268,228,VM-04,,Lac,Valea Magherusului,
24.3364651458037,47.1012054897538,102,CH-06,,MAGAZIN SATESC,Chintelnic,
24.4264265133167,47.0745229836119,227,CR-12,,Balastiera,Cranimat,
24.3350845063097,47.1161782743725,101,PO-01,,MAGAZIN,Podirei,
24.3340810675107,47.1172581705693,100,PO-01,,MAGAZIN,Podirei,
24.3944525396964,47.0788203850319,225,CR-10,,SRM Predare-Crainimat,Cranimat,
24.3727533212956,47.0910095555294,99,SM-09,,MAGAZIN,Sieu Magherus,
24.3647448175675,47.09865171373,224,SM-22,,Pensiunea Hangita,Sieu Magherus,
24.4040902104185,47.071749694062,98,CR-05,,Magazin,Cranimat,
24.3957575107969,47.0610228145138,96,SA-04,,Magazin,Saratel,
24.4186345059601,47.0455184475036,234,SA-14,,Hagau,Saratel,
24.374407093464,47.0689730003231,233,AC-17,,"Asezare epoca bronzului, fierului, feudalismului timpuriu ""La Movila""",Arcalia,
24.3543802685816,47.0688015270673,232,AC-16,,"Sit arheologic ""Cetate""",Arcalia,
24.3877122751724,47.0996394013756,149,SM-20,,"SIT ARHEOLOGIC, CETATE, (HEGHERIS)",Sieu Magherus,
24.3563543413216,47.0840208441415,23,AC-03,,Biserica evanghelica,Arcalia,
24.3902705348016,47.0858115021822,148,SM-15,,SERVICII DE TURISM,Sieu Magherus,
24.3339106094618,47.1173827987438,236,,,CAMIN,Podirei,
